"Statistic Label","Year","Type of Dwelling","UNIT","VALUE"
"Planning Permissions Granted","2002","Houses","Number","18224"
"Planning Permissions Granted","2002","Private flats/apartments","Number","1464"
"Planning Permissions Granted","2003","Houses","Number","19323"
"Planning Permissions Granted","2003","Private flats/apartments","Number","1592"
"Planning Permissions Granted","2004","Houses","Number","25751"
"Planning Permissions Granted","2004","Private flats/apartments","Number","1731"
"Planning Permissions Granted","2005","Houses","Number","23514"
"Planning Permissions Granted","2005","Private flats/apartments","Number","1799"
"Planning Permissions Granted","2006","Houses","Number","21409"
"Planning Permissions Granted","2006","Private flats/apartments","Number","1340"
"Planning Permissions Granted","2007","Houses","Number","20788"
"Planning Permissions Granted","2007","Private flats/apartments","Number","1424"
"Planning Permissions Granted","2008","Houses","Number","16297"
"Planning Permissions Granted","2008","Private flats/apartments","Number","1139"
"Planning Permissions Granted","2009","Houses","Number","9567"
"Planning Permissions Granted","2009","Private flats/apartments","Number","771"
"Planning Permissions Granted","2010","Houses","Number","5958"
"Planning Permissions Granted","2010","Private flats/apartments","Number","361"
"Planning Permissions Granted","2011","Houses","Number","4516"
"Planning Permissions Granted","2011","Private flats/apartments","Number","229"
"Planning Permissions Granted","2012","Houses","Number","3422"
"Planning Permissions Granted","2012","Private flats/apartments","Number","204"
"Planning Permissions Granted","2013","Houses","Number","3103"
"Planning Permissions Granted","2013","Private flats/apartments","Number","197"
"Planning Permissions Granted","2014","Houses","Number","3335"
"Planning Permissions Granted","2014","Private flats/apartments","Number","246"
"Planning Permissions Granted","2015","Houses","Number","3921"
"Planning Permissions Granted","2015","Private flats/apartments","Number","326"
"Planning Permissions Granted","2016","Houses","Number","4668"
"Planning Permissions Granted","2016","Private flats/apartments","Number","424"
"Planning Permissions Granted","2017","Houses","Number","5726"
"Planning Permissions Granted","2017","Private flats/apartments","Number","510"
"Planning Permissions Granted","2018","Houses","Number","6103"
"Planning Permissions Granted","2018","Private flats/apartments","Number","692"
"Planning Permissions Granted","2019","Houses","Number","6265"
"Planning Permissions Granted","2019","Private flats/apartments","Number","791"
"Planning Permissions Granted","2020","Houses","Number","5844"
"Planning Permissions Granted","2020","Private flats/apartments","Number","742"
"Planning Permissions Granted","2021","Houses","Number","7971"
"Planning Permissions Granted","2021","Private flats/apartments","Number","810"
"Planning Permissions Granted","2022","Houses","Number","7401"
"Planning Permissions Granted","2022","Private flats/apartments","Number","695"
